ACI,EGJA,Alderney
ACJ,KACJ,Jimmy Carter Rgnl
BQA,RPUR,Baler
CNF,SBCF,Tancredo Neves Int'l
PRN,KPRN,Mac Crenshaw Memorial
WAM,FMMZ,Ambatondrazaka
SOE,FCOS,Souanke
MFM,VMMC,Macau Int'l
MRJ,MHMA,Marcala
CKC,KCKC,Grand Marais/Cook County
QPG,WSAP,Paya Lebar Air Base (RSAF)
SMD,KSMD,Smith Field
ITO,PHTO,Hilo Intl
RGN,VYYY,Yangon Int'l
ICR,KICR,Winner Rgnl
ELO,KELO,Ely Muni
CBE,KCBE,Greater Cumberland Rgnl
BFR,KBFR,Virgil I Grissom Muni
EAU,KEAU,Chippewa Valley Rgnl
NQT,EGBN,Nottingham
PKT,YPKT,Port Keats Airfield
RCB,FARB,Richards Bay
DOV,KDOV,Dover Afb
FNG,DFEF,Fada N'gourma
MTN,KMTN,Martin State
FEL,ETSF,Furstenfeldbruck Air Base
TRI,KTRI,Tri-Cities Rgnl Tn/Va
KUS,BGKK,Kulusuk
BGX,SBBG,Comandante Gustavo Kraemer
ATK,PATQ,Atqasuk Memorial
BWG,KBWG,Green-Warren Co Rgnl
SRI,WRLS,Temindung
RAP,KRAP,Rapid City Rgnl
CQW,KCQW,Cheraw Municipal
MVS,SNMU,Mucuri
FWL,PAFW,Farewell
GFY,FYGF,Grootfontein
RNS,LFRN,Rennes
WNS,OPNH,Nawabshah
SIN,WSSS,Singapore Changi
YNM,CYNM,Matagami
TOR,KTOR,Torrington Muni
OCQ,KOCQ,J. Douglas Bake Memorial.
TWM,KTWM,Richard B Helgeson
LLR,KLLR,Little River
SXR,VISR,Srinagar / Srinagar Air Force Base
PNZ,SBPL,Petrolina
TNI,PGWT,Tinian Intl
SKQ,FXSK,Sekake
THV,KTHV,York
ZVK,VLSK,Savannakhet
TWT,KTWT,Sturgis Muni
FUE,GCFV,El Matorral
GOR,HAGR,Gore
CPP,RPUK,Calapan
UTA,KUTA,Tunica Muni
SWO,KSWO,Stillwater Rgnl
NDL,FEFN,N'Dele
CIW,TVSC,Canouan
STK,KSTK,Sterling Muni
BVI,KBVI,Beaver County
CPH,EKCH,Copenhagen
YEG,CYEG,Edmonton Int'l
HPA,NFTL,Lifuka Island (Salote Pilolevu)
AXS,KAXS,Altus/Quartz Mtn Rgnl
LXN,KLXN,Jim Kelly Field
EHR,KEHR,Henderson City-County
PIH,KPIH,Pocatello Rgnl
PHE,YPPD,Port Hedland Int'l
BQN,TJBQ,Rafael Hernandez
MKU,FOOK,Makokou
GXG,FNNG,Negage
CUU,MMCU,General Roberto Fierro Villalobos Int'l
AMT,KAMT,Alexander Salamon
OMA,KOMA,Eppley Airfield
HEF,KHEF,Manassas Rgnl
GIB,LXGB,Gibraltar
KEL,EDHK,Kiel Holtenau
PMP,KPMP,Pompano Beach Airpark
SHA,ZSSS,Shanghai Hongqiao Int'l
DYG,ZGDY,Dayong Airport
SDK,WBKS,Sandakan
HFS,ESOH,Hagfors
JHM,PHJH,Kapalua
IER,KIER,Natchitoches Rgnl
