ACR,SKAC,Araracuara,-0.601111,-72.397778,:America/Bogota
ACT,KACT,Waco Rgnl,31.6121944,-97.2303056,:America/Chicago
ACV,KACV,Arcata,40.9778333,-124.1084722,:America/Los_Angeles
ACY,KACY,Atlantic City Intl,39.4575833,-74.5771667,:America/New_York
ACZ,KACZ,Henderson Field,34.7178664,-78.0038802,:America/New_York
ACZ,OIZB,Zabol,31.098333,61.543889,:Asia/Tehran
ADA,LTAF,Adana Şakirpaşa,36.982166,35.280388,:Europe/Istanbul
ADB,LTBJ,İzmir Adnan Menderes Int'l,38.292392,27.156953,:Europe/Istanbul
ADC,KADC,Wadena Muni,46.449945,-95.210832,:America/Chicago
ADD,HAAB,Bole Int'l,8.977889,38.799319,:Africa/Addis_Ababa
ADE,OYAA,Aden Int'l,12.829542,45.028792,:Asia/Aden
ADF,KADF,Dexter B Florence Memorial Field,34.0998056,-93.0660833,:America/Chicago
ADF,LTCP,Adiyaman,37.731369,38.468936,:Europe/Istanbul
ADG,KADG,Lenawee County,41.8676739,-84.0773058,:America/New_York
ADH,KADH,Ada Muni,34.804262,-96.6711997,:America/Chicago
ADH,UEAA,Aldan,58.6,125.4,:Pacific/Guam
ADI,FYAR,Arandis,-22.462223,14.98,UTC
ADJ,OJAM,Marka Int'l,31.972703,35.991569,:Asia/Amman
ADK,PADK,Adak,51.8779639,-176.6460306,:America/Adak
ADL,YPAD,Adelaide Int'l,-34.945,138.530556,:Australia/Adelaide
ADM,KADM,Ardmore Muni,34.3042778,-97.0205833,:America/Chicago
ADN,SKAN,Andes,5.656,-75.879,:America/Bogota
ADP,VCCA,Anuradhapura,8.301486,80.4279,:Asia/Colombo
ADQ,PADQ,Kodiak,57.7499623,-152.4938203,:America/Anchorage
ADS,KADS,Addison,32.9685556,-96.8364444,:America/Chicago
ADT,KADT,Atwood County,39.8403385,-101.0424829,:America/Chicago
ADU,KADU,Audubon County,41.7015278,-94.9204444,:America/Chicago
ADU,OITL,Ardabil,38.326261,48.424414,:Asia/Tehran
ADW,KADW,Joint Base Andrews,38.810818,-76.8670391,:America/New_York
ADX,EGQL,RAF Leuchars,56.372889,-2.868444,:Europe/London
ADZ,SKSP,Gustavo Rojas Pinilla Int'l (Sesquicentenario),12.583594,-81.711192,:America/Bogota
AEA,NGTB,Abemama Atoll,0.490833,173.828611,:Pacific/Tarawa
AEG,KAEG,Double Eagle Ii,35.1451667,-106.7951667,:America/Denver
AEG,WIME,Aek Godang,1.400103,99.430453,:Indian/Christmas
AEH,FTTC,Abeche,13.847,20.844333,:Africa/Ndjamena
AEJ,KAEJ,Central Colorado Rgnl,38.8141944,-106.1206111,:America/Denver
AEL,KAEL,Albert Lea Muni,43.6813143,-93.3681484,:America/Chicago
AEO,GQNA,Aioun el Atrouss,16.711294,-9.637883,:Africa/Nouakchott
AEP,SABE,Jorge Newbery,-34.559175,-58.415606,:America/Argentina/Buenos_Aires
AER,URSS,Adler-Sochi Int'l,43.449928,39.956589,:Europe/Samara
AES,ENAL,Alesund,62.560372,6.110164,:Europe/Oslo
AEX,KAEX,Alexandria Intl,31.3273717,-92.5485561,:America/Chicago
AEY,BIAR,Akureyri,65.659994,-18.072703,:Atlantic/Reykjavik
AFA,SAMR,San Rafael,-34.588089,-68.402678,:America/Argentina/Buenos_Aires
AFD,FAPA,Port Alfred,-33.554167,26.879722,:Africa/Johannesburg
AFE,PAFE,Kake,56.9613625,-133.9102611,:America/Anchorage
AFF,KAFF,Usaf Academy Afld,38.969715,-104.8128308,:America/Denver
AFI,SKAM,Amalfi,6.916667,-75.066667,:America/Bogota
AFJ,KAFJ,Washington County,40.1364722,-80.2901944,:America/New_York
AFK,KAFK,Nebraska City Muni,40.6065278,-95.8666667,:America/Chicago
AFL,SBAT,Alta Floresta,-9.866092,-56.106206,:America/Cuiaba
AFM,PAFM,Ambler,67.1063139,-157.8574722,:America/Anchorage
AFN,KAFN,Jaffrey Airport,42.8051342,-72.0030219,:America/New_York
AFO,KAFO,Afton Muni,42.7087778,-110.9421667,:America/Denver
AFP,KAFP,Anson County - Jeff Cloud Field,35.0206377,-80.0771181,:America/New_York
AFT,AGAF,Afutara,-9.191111,160.949167,:Pacific/Guadalcanal
AFW,KAFW,Fort Worth Alliance,32.9876389,-97.3188056,:America/Chicago
AFZ,OIMS,Sabzevar,36.168411,57.595072,:Asia/Tehran
AGA,GMAD,Al Massira (Inezgane),30.324997,-9.413067,:Africa/Casablanca
AGB,EDMA,Augsburg,48.425158,10.931764,:Europe/Berlin
AGC,KAGC,Allegheny County,40.3544014,-79.9301689,:America/New_York
AGF,LFBA,Agen-La Garenne,44.174721,0.590556,:Europe/Paris
AGH,ESTA,Angelholm-Helsingbor,56.296072,12.847139,:Europe/Stockholm
AGI,SMWA,Wageningen Airstrip,5.833,-56.65,:America/Paramaribo
AGJ,RORA,Aguni,26.592499,127.240833,:Asia/Tokyo
AGM,BGAM,Tasiilaq Heliport,65.612222,-37.618333,:America/Godthab
AGN,PAGN,Angoon,57.5035553,-134.5850939,UTC
AGO,KAGO,Magnolia Muni,33.2274681,-93.2169917,:America/Chicago
AGP,LEMG,Malaga,36.6749,-4.499106,:Europe/Madrid
AGQ,LGAG,Agrinion,38.602022,21.351208,:Europe/Athens
AGR,KAGR,Macdill Afb Aux Fld,27.64785,-81.3415639,:America/New_York
AGR,VIAG,Agra / Agra Air Force Station,27.155831,77.960892,:Asia/Kolkata
AGS,KAGS,Augusta Regional,33.3699444,-81.9645,:America/New_York
AGT,SGES,Guarani Int'l,-25.4555,-54.843592,:America/Asuncion
AGU,MMAS,Lic. Jesus Teran Peredo Int'l,21.705461,-102.317869,:America/Mexico_City
AGV,SVAC,Oswaldo Guevara Mujica,9.553375,-69.237872,:America/Caracas
AGZ,KAGZ,Wagner Muni,43.0641661,-98.2963821,:America/Chicago
AHB,OEAB,Abha Regional,18.240058,42.655725,:Asia/Riyadh
AHC,KAHC,Amedee Aaf,40.2659181,-120.1506133,:America/Los_Angeles
AHH,KAHH,Amery Muni,45.2811483,-92.3753922,:America/Chicago
AHI,WAPA,Amahai,-3.348,128.926,:Asia/Jayapura
AHN,KAHN,Athens/Ben Epps,33.9485833,-83.3263611,:America/New_York
AHO,LIEA,Fertilia (Alghero),40.632133,8.290772,:Europe/Rome
AHP,PAAP,Port Alexander,56.2468422,-134.6481539,UTC
AHQ,KAHQ,Wahoo Muni,41.2406081,-96.594555,:America/Chicago
AHU,GMTA,Cherif Al Idrissi,35.177103,-3.839525,:Africa/Casablanca
AIA,KAIA,Alliance Muni,42.0532222,-102.8037778,:America/Denver
AIB,KAIB,Hopkins Field,38.23875,-108.5632778,:America/Denver
AID,KAID,Anderson Municipal,40.1086111,-85.613,:America/New_York
AIF,SBAS,Assis,-22.638564,-50.455914,:America/Sao_Paulo
AIG,FEFY,Yalinga,6.52,23.26,:Africa/Bangui
AIG,KAIG,Langlade County,45.1539497,-89.1106167,:America/Chicago
AII,HDAS,Ali-Sabieh,11.133,42.717,:Africa/Djibouti
AIK,KAIK,Aiken Muni,33.6493889,-81.6850278,:America/New_York
AIO,KAIO,Atlantic Muni,41.4038333,-95.04875,:America/Chicago
AIS,NGTR,Arorae Island,-2.616111,176.8025,:Pacific/Tarawa
AIT,KAIT,Aitkin Municipal,46.5484619,-93.6766322,:America/Chicago
AIT,NCAI,Aitutaki (Araura),-18.830922,-159.764233,:Pacific/Rarotonga
AIU,NCAT,Enua,-19.967778,-158.119167,:Pacific/Rarotonga
AIV,KAIV,George Downer,33.1064653,-88.1977917,:America/Chicago
AIZ,KAIZ,Lee C Fine Memorial,38.0960278,-92.5494722,:America/Chicago
AJ7,CAJ7,Aj Flying Ranch,50.45,-113.75,:America/Edmonton
AJA,LFKJ,Ajaccio Campo dell'Oro,41.923637,8.802917,:Europe/Paris
AJC,PAJC,Chignik,56.3114625,-158.3732369,UTC
AJF,OESK,al-Jouf Domestic,29.785133,40.100006,:Asia/Riyadh
AJG,KAJG,Mount Carmel Muni,38.6065278,-87.7266944,:America/Chicago
AJI,LTCO,Agri,39.654569,43.02715,:Europe/Istanbul
AJJ,GQNJ,Akjoujt,19.731667,-14.379444,:Africa/Nouakchott
AJL,VEAZ,Turial Air Force Base,23.746231,92.803219,:Asia/Kolkata
AJN,FMCV,Ouani,-12.131667,44.430279,:Indian/Comoro
AJO,KAJO,Corona Muni,33.8976541,-117.6024398,:America/Los_Angeles
AJR,ESNX,Arvidsjaur,65.590228,19.281725,:Europe/Stockholm
AJR,KAJR,Habersham County,34.4998483,-83.5566701,:America/New_York
AJU,SBAR,Santa Maria,-10.984,-37.070333,:America/Maceio
AJY,DRZA,Mano Dayak Int'l,16.965997,8.000114,:Africa/Niamey
AJZ,KAJZ,Blake Field,38.7864167,-108.0636389,:America/Denver
AK03,PAWT,Wainwright As,70.6133778,-159.86035,:America/Anchorage
AK15,PALP,Alpine Airstrip,70.3442778,-150.94475,:America/Anchorage
