BEL," Brussels Airlines ""S-Tail""",
UTY," Alliance Airlines ""Unity""",
AUT," Austral Lineas Aereas ""Austral""",
GUJ," Gujarat Airways ""Gujaratair""",
JTA," Japan Transocean Air Co. ""Jai Ocean""",
LRC," Lineas Aereas Costarricenses  ""Lacsa"" ",
TGW," Tiger Airways ""Go Cat"" ",
ABX," Airborne Express ""Abex"" ",
AUA," Austrian Airlines ""Austrian"" ",
NDU," University of North Dakota ""Sioux""",
EEA," Empresa Ecuatoriana de Aviacion ""Ecuatoriana""",
POE," Porter ""Porter Air"" ",
GTI," Atlas Air ""Giant"" ",
VHM," Vhm Schul- Und Charterflug ""Early Bird""",
LPE, LAN Peru,
SIL," Silver Airways ""Silver Wings"" ",
RBA," Royal Brunei ""Brunei""",
BWA," Caribbean Airlines ""Caribbean Airlines"" ",
AJX, Air Japan,
EJM," Executive Jet Management ""Jet Speed""",
WEN," WestJet Encore ""Encore"" ",
FJI," Air Pacific Limited ""Fiji"" ",
APC, Airpac ,
JIA," PSA Airlines ""Blue Streak"" ",
BOS," OpenSkies ""Mistral"" ",
XOJ," XOJET ""XOJET"" ",
LNE," LAN Ecuador  ""Lan Ecuador""",
SKQ," Labcorp ""Skylab""",
MAL," Morningstar Air ""Morningstar"" ",
PTI," Privatair Sa ""Privatair"" ",
CLX," Cargolux Airlines International ""Cargolux"" ",
CSJ," Castle Aviation ""Castle"" ",
AIJ," Interjet ""INTERJET"" ",
LOT," Lot - Polskie Linie Lotnicze ""Pollot"" ",
ANG," Air Niugini ""Niugini""",
CFS," Empire ""Empire"" ",
GTH," Meridian Air Charter ""Gotham""",
TWN," Avialeasing Aviation Company ""Twinarrow""",
TOM," Thomsonfly ""Tomson"" ",
MTN," Mountain Air Cargo ""Mountain"" ",
CTA," Aero Charter And Transport ""Char-Tran""",
MDS," Mcneely Charter Service ""Midsouth""",
PAC," Polar Air Cargo ""Polar Tiger"" ",
VEX," Virgin Express ""Virgin Express"" ",
RJA," Royal Jordanian ""Jordanian"" ",
SNC," Air Cargo Carriers ""Night Cargo""",
CRL," Corsair International ""Corsair"" ",
SQH," SeaPort ""Sasquatch"" ",
TFL," Arkefly ""Arkefly"" ",
VHT," Corporate Flight International ""Vegas Heat""",
GLR," Central Mountain ""Glacier"" ",
CGH," Guizhou Airlines ""Guizhou""",
CAV," Calm Air ""Calm Air"" ",
CKS," Kalitta Air ""Connie"" ",
SWD," TriFLY ""SAWBLADE""",
SKP," Aero-North Aviation Services ""Skipper""",
NAX," Norwegian Air Shuttle AS ""Nor Shuttle""",
AER," Alaska Central Express ""Ace Air""",
DNV," Don Airlines ""Donavia""",
GGN," Air Georgian ""Georgian"" ",
GEC," Lufthansa Cargo ""Lufthansa Cargo""",
MPH," Martinair Holland N.V. ""Martinair"" ",
AIE," Air Inuit ""Air Inuit"" ",
SWG," Sunwing ""Sunwing"" ",
JSN," Suncor Energy ""JetSun""",
ATN," Air Transport International Llc ""Air Transport"" ",
CFH," Care Flight ""Care Flight""",
PCO," Pacific Coastal Airline ""Pasco"" ",
DHK," DHL Air Ltd ""World Express""",
DCM," Fltpln.com ""DOT COM"" ",
SUB," Suburban Air Freight ""Sub Air""",
NCB," North Cariboo Flying Service Ltd. ""North Caribou"" ",
CAO," Air China Cargo ""Airchina Freight"" ",
URF," Surf Air ""Surf Air""",
NAC," Northern Air Cargo ""Yukon"" ",
KAP," Hyannis Air Service D/B/A Cape Air ""Cair"" ",
ANO, Airnorth Regional ,
CGT, CNG-Transavia,
SOO," Southern Air ""Southern Air"" ",
WWD," Westward ""Westward""",
EMD," Ballard Aviation D/B/A Eaglemed ""Eaglemed""",
CKK," China Cargo ""Cargo King""",
ERR," Era Alaska ""ERAH"" ",
WIG, Wiggins ,
CTL, Central Air Southwest,
SKV," Sky Regional ""Maple""",
DSM, LAN Argentina ,
JSA, Jetstar Asia ,
KFS," Kalitta Charters ""KALITTA"" ",
FLY," Flying Enterprise AB ""Flying""",
WOA," World Airways ""World"" ",
RAM," Royal Air Maroc ""Royalair Maroc"" ",
OAE," Omni Air Express ""Omni-Express"" ",
PDT," Piedmont ""Piedmont"" ",
JNH," M & N Equipment ""Jonah""",
AVN," Air Vanuatu ""Air Van"" ",
NCA," Nippon Cargo ""Nippon Cargo"" ",
PGA, Portugalia,
VKG," Thomas Cook ""Viking"" ",
TMC," Travel Management Company. LTD ""Trailblazer""",
BBR, Santa Barbara ,
RSP," JetSuite Air ""Red Stripe"" ",
BXH," Bar Xh Air ""Palliser"" ",
TCX," Thomas Cook ""Kestrel"" ",
CGG," Walmart Aviation ""Charge""",
VTS," Tatonduk Outfitters ""Everts"" ",
KFA," Kelowna Flightcraft ""Flightcraft"" ",
LFT," Aerolift Philippines ""Aerolifter""",
CMD," Cal-Star Medical ""Cal-Star Medical"" ",
LKF," Aviation Advisor Inc. ""Lake Front"" ",
LXJ," Bombardier Aerospace/Business Jet ""Flexjet""",
OPT," Flight Options ""Options"" ",
WIS," Pro Aire Cargo and Consulting ""Wiscair"" ",
BRG," Bering Air ""Bering Air"" ",
CFE," Cityflyer Express ""Flyer""",
THT," Air Tahiti Nui ""Tahiti Airlines""",
FWL," Florida West International ""Flo West"" ",
FRG," Freight Runners Express ""Freight Runners""",
CJA," Canjet ""Canjet"" ",
MNA," Merpati Nusantara P.t. ""Merpati""",
MAU," Air Mauritius Limited ""Airmauritius""",
DAE, DHL Aero Expreso ,
WEW," West Wind Aviation ""Westwind"" ",
CNK," Sunwest Home Aviation Ltd. ""Chinook"" ",
CPT," Corporate Air ""Air Spur"" ",
VIN, Vinair - Helicopteros,
JAS," Jet Aviation Flight Services ""JET SETTER"" ",
SIS," Silver Air ""Silver Speed"" ",
ASP, AirSprint ,
WWW," Janet ""Janet"" ",
PVL," Provincial Airlines ""Provincial"" ",
TWY, Sunset Aviation,
ELJ," Delta Private Jets ""Elite Jet""",
BJS," Business Jet Solutions ""Solution""",
GUG," Aviateca ""Aviateca""",
PRY, Priority Air Charter,
CGC," Cal Gulf Aviation ""Cal-Gulf""",
ECJ, East Coast Jets,
FSC," Four Star Aviation D/B/A Four Star Gargo ""Four Star""",
TAO," Transportes Aeromar ""Trans-Aeromar""",
UCM," University of Central Missouri ""Mule Flight"" ",
EDW," Edelweiss Air AG ""Edelweiss""",
ORK," Orca Air ""Orca Taxi""",
WAE," Western Air Express ""Western Express""",
EFF," Westair Aviation Limited ""Emerald"" ",
CLH," Lufthansa Cityline ""Hansaline""",
SQC, Singapore Airlines Cargo,
FTH," Mountain Aviation ""FOOT HILLS"" ",
ARA, Aerobeira,
VOI," Volaris ""VOLARIS"" ",
CJT," Cargojet ""Cargojet"" ",
KQA," Kenya Airways ""Kenya""",
TSH," Regional 1 Airlines ""Transcanada"" ",
WML," Chantilly Air ""Marlin""",
CGM," Cargoman Limited ""Hotel Charlie""",
XLF," XL Airways ""Starway"" ",
CAT," Copenhagen Airtaxi ""Aircat""",
NLY, flyniki ,
GHA," Group Holdings Aviation ""Sutter"" ",
GTX," GTA Air ""Big Dee"" ",
PAQ," Pacific Air Express ""Solpac""",
NAO," North American Airlines ""North American"" ",
NJE," NetJets Europe ""FRACTION"" ",
HGT," GMJ Air Shuttle ""HIGHTECH"" ",
CGN," Changan Airlines ""Changan""",
XSR, Executive AirShare ,
AJI," Ameristar Jet Charter ""Ameristar"" ",
PAG," Perimeter Aviation ""Perimeter"" ",
RAX," Royal Air Freight ""Air Royal"" ",
UJC," Ultimate ""Ultimate"" ",
ADA, Airservices Australia,
SFH," North American Jet Charter Group ""STARFISH"" ",
FKL," Kelner Airways ""Kelner"" ",
ADR," Adria ""Adria""",
HPN," Linear Air ""Harpoon"" ",
BLS," Bearskin Lake Air Service Limited ""Bearskin"" ",
TSC," Air Transat ""Transat"" ",
NLH," Norwegian Long Haul ""Norstar""",
SPK," Spectrum Air ""Solstas Lab""",
SAV," Sanair ""Sanair Line""",
RZO," Sata Internacional ""Air Azores"" ",
ACI," Air Caledonie International ""Aircalin""",
CFA," China Flying Dragon ""Feilong""",
